Animal_ID,ANIMAL_SN,Lat,Longitude,Fix Status,X,Y,DATETIME
tn85844,tn85844_2020_SM,48.4942669,54.1489667,4 or more SV KF,267368,5376028,2020.04.08 20:00:00
tn85844,tn85844_2020_SM,48.4917814,54.1483853,4 or more SV KF,267399,5375750,2020.04.08 22:01:00
tn85844,tn85844_2020_SM,48.4910719,54.1471456,4 or more SV KF,267488,5375667,2020.04.09 02:00:00
tn85844,tn85844_2020_SM,48.4904197,54.14725,4 or more SV KF,267477,5375595,2020.04.09 04:00:00
tn85844,tn85844_2020_SM,48.49196,54.1512339,4 or more SV KF,267190,5375779,2020.04.09 08:00:00
tn85844,tn85844_2020_SM,48.4920875,54.1510503,4 or more SV KF,267204,5375792,2020.04.09 10:00:00
tn85844,tn85844_2020_SM,48.494815,54.1541811,4 or more SV KF,266985,5376105,2020.04.09 14:00:00
tn85844,tn85844_2020_SM,48.4978567,54.1491344,4 or more SV KF,267372,5376427,2020.04.09 16:00:00
tn85844,tn85844_2020_SM,48.4978111,54.1490247,4 or more SV KF,267380,5376422,2020.04.09 18:00:00
tn85844,tn85844_2020_SM,48.4971344,54.1487239,4 or more SV KF,267399,5376346,2020.04.09 20:00:00
tn85844,tn85844_2020_SM,48.4978075,54.15014,4 or more SV KF,267297,5376425,2020.04.09 22:00:00
tn85844,tn85844_2020_SM,48.5002456,54.1403789,4 or more SV KF,268030,5376666,2020.04.10 00:00:00
tn85844,tn85844_2020_SM,48.4940758,54.1553872,4 or more SV KF,266893,5376026,2020.04.10 02:00:00
tn85844,tn85844_2020_SM,48.4976342,54.1354606,4 or more SV KF,268381,5376361,2020.04.10 08:00:00
tn85844,tn85844_2020_SM,48.49919,54.1344122,4 or more SV KF,268465,5376531,2020.04.10 10:00:00
tn85844,tn85844_2020_SM,48.5028058,54.1269022,4 or more SV KF,269037,5376910,2020.04.10 14:00:00
tn85844,tn85844_2020_SM,48.4953533,54.1271208,4 or more SV KF,268986,5376083,2020.04.10 18:00:00
tn85844,tn85844_2020_SM,48.495275,54.127105,4 or more SV KF,268987,5376074,2020.04.10 20:00:00
tn85844,tn85844_2020_SM,48.4949964,54.1347008,4 or more SV KF,268425,5376066,2020.04.11 00:00:00
tn85844,tn85844_2020_SM,48.4920728,54.1461911,4 or more SV KF,267563,5375776,2020.04.11 04:00:00
tn85844,tn85844_2020_SM,48.4936939,54.1491489,4 or more SV KF,267352,5375965,2020.04.11 08:00:00
tn85844,tn85844_2020_SM,48.4921206,54.1492839,4 or more SV KF,267335,5375790,2020.04.11 10:00:00
tn85844,tn85844_2020_SM,48.4906586,54.1509433,4 or more SV KF,267205,5375633,2020.04.11 12:00:00
tn85844,tn85844_2020_SM,48.4893072,54.1507494,4 or more SV KF,267213,5375482,2020.04.11 16:00:00
tn85844,tn85844_2020_SM,48.4899964,54.1491997,4 or more SV KF,267331,5375554,2020.04.11 18:00:00
tn85844,tn85844_2020_SM,48.4934414,54.1537317,4 or more SV KF,267012,5375951,2020.04.12 04:00:00
tn85844,tn85844_2020_SM,48.4936131,54.1536439,4 or more SV KF,267019,5375970,2020.04.12 06:00:00
tn85844,tn85844_2020_SM,48.4933414,54.1514472,4 or more SV KF,267180,5375933,2020.04.12 08:00:00
